Class,Question,Answer
Animal,นกเงือกกรามช้างกินไรอ่ะ,ผลไม้ โดยเฉพาะลูกไทร ลูกหว้า ตาเสือ ยางโอน แมลง สัตว์เลื้อยคลานขนาดเล็ก เช่น กิ้งก่า หรือสัตว์ครึ่งบกครึ่งน้ำ
Animal,นกเงือกกรามช้างกินราย,ผลไม้ โดยเฉพาะลูกไทร ลูกหว้า ตาเสือ ยางโอน แมลง สัตว์เลื้อยคลานขนาดเล็ก เช่น กิ้งก่า หรือสัตว์ครึ่งบกครึ่งน้ำ
Animal,นกเงือกกรามช้างกินไอไหร,ผลไม้ โดยเฉพาะลูกไทร ลูกหว้า ตาเสือ ยางโอน แมลง สัตว์เลื้อยคลานขนาดเล็ก เช่น กิ้งก่า หรือสัตว์ครึ่งบกครึ่งน้ำ
Animal,นกเงือกกรามช้างกินไร,ผลไม้ โดยเฉพาะลูกไทร ลูกหว้า ตาเสือ ยางโอน แมลง สัตว์เลื้อยคลานขนาดเล็ก เช่น กิ้งก่า หรือสัตว์ครึ่งบกครึ่งน้ำ
Animal,นกเงือกหัวแรด,ที่นี่มีนกเงือกหัวแรดค่ะ
Animal,มีนกเงือกหัวแรดไหม,ที่นี่มีนกเงือกหัวแรดค่ะ
Animal,มีนกเงือกหัวแรดไหมอ่ะ,ที่นี่มีนกเงือกหัวแรดค่ะ
Animal,มีนกเงือกหัวแรดไหมหรือเปล่า,ที่นี่มีนกเงือกหัวแรดค่ะ
Animal,มีนกเงือกหัวแรดป้ะ,ที่นี่มีนกเงือกหัวแรดค่ะ
Animal,นกเงือกหัวแรดกินอะไร,กินทั้งผลไม้และสัตว์ แต่ชอบผลไม้มากกว่า เช่น ไทร ทังป่า ตาเสือใหญ่ ลูกพน หว้า ยางโอน ฯลฯ จำพวกสัตว์ เช่น ตั๊กแตน กิ้งกือ กิ้งก่าบิน ตะขาบ ฯลฯ
Animal,นกเงือกหัวแรดกินไรอ่ะ,กินทั้งผลไม้และสัตว์ แต่ชอบผลไม้มากกว่า เช่น ไทร ทังป่า ตาเสือใหญ่ ลูกพน หว้า ยางโอน ฯลฯ จำพวกสัตว์ เช่น ตั๊กแตน กิ้งกือ กิ้งก่าบิน ตะขาบ ฯลฯ
Animal,นกเงือกหัวแรดกินราย,กินทั้งผลไม้และสัตว์ แต่ชอบผลไม้มากกว่า เช่น ไทร ทังป่า ตาเสือใหญ่ ลูกพน หว้า ยางโอน ฯลฯ จำพวกสัตว์ เช่น ตั๊กแตน กิ้งกือ กิ้งก่าบิน ตะขาบ ฯลฯ
Animal,นกเงือกหัวแรดกินไอไหร,กินทั้งผลไม้และสัตว์ แต่ชอบผลไม้มากกว่า เช่น ไทร ทังป่า ตาเสือใหญ่ ลูกพน หว้า ยางโอน ฯลฯ จำพวกสัตว์ เช่น ตั๊กแตน กิ้งกือ กิ้งก่าบิน ตะขาบ ฯลฯ
Animal,นกเงือกหัวแรดกินไร,กินทั้งผลไม้และสัตว์ แต่ชอบผลไม้มากกว่า เช่น ไทร ทังป่า ตาเสือใหญ่ ลูกพน หว้า ยางโอน ฯลฯ จำพวกสัตว์ เช่น ตั๊กแตน กิ้งกือ กิ้งก่าบิน ตะขาบ ฯลฯ
Animal,นกเงือกหัวหงอก,ที่นี่มีนกเงือกหัวหงอกค่ะ
Animal,มีนกเงือกหัวหงอกไหม,ที่นี่มีนกเงือกหัวหงอกค่ะ
Animal,มีนกเงือกหัวหงอกไหมอ่ะ,ที่นี่มีนกเงือกหัวหงอกค่ะ
Animal,มีนกเงือกหัวหงอกไหมหรือเปล่า,ที่นี่มีนกเงือกหัวหงอกค่ะ
Animal,มีนกเงือกหัวหงอกป้ะ,ที่นี่มีนกเงือกหัวหงอกค่ะ
Animal,นกเงือกหัวหงอกกินอะไร,ชอบกินทั้งผลไม้เช่น ไทร ตาเสือ ฯลฯ และสัตว์ เช่น กิ้งก่า แมลงต่างๆ ชอบกินอารหารจำพวกสัตว์มากเมื่อเทียบกับนกเงือกชนิดอื่น
Animal,นกเงือกหัวหงอกกินไรอ่ะ,ชอบกินทั้งผลไม้เช่น ไทร ตาเสือ ฯลฯ และสัตว์ เช่น กิ้งก่า แมลงต่างๆ ชอบกินอารหารจำพวกสัตว์มากเมื่อเทียบกับนกเงือกชนิดอื่น
Animal,นกเงือกหัวหงอกกินราย,ชอบกินทั้งผลไม้เช่น ไทร ตาเสือ ฯลฯ และสัตว์ เช่น กิ้งก่า แมลงต่างๆ ชอบกินอารหารจำพวกสัตว์มากเมื่อเทียบกับนกเงือกชนิดอื่น
Animal,นกเงือกหัวหงอกกินไอไหร,ชอบกินทั้งผลไม้เช่น ไทร ตาเสือ ฯลฯ และสัตว์ เช่น กิ้งก่า แมลงต่างๆ ชอบกินอารหารจำพวกสัตว์มากเมื่อเทียบกับนกเงือกชนิดอื่น
Animal,นกเงือกหัวหงอกกินไร,ชอบกินทั้งผลไม้เช่น ไทร ตาเสือ ฯลฯ และสัตว์ เช่น กิ้งก่า แมลงต่างๆ ชอบกินอารหารจำพวกสัตว์มากเมื่อเทียบกับนกเงือกชนิดอื่น
Animal,นกเพนกวินฮัมโบลด์,ที่นี่มีนกเพนกวินฮัมโบลด์ค่ะ
Animal,มีนกเพนกวินฮัมโบลด์ไหม,ที่นี่มีนกเพนกวินฮัมโบลด์ค่ะ
Animal,มีนกเพนกวินฮัมโบลด์ไหมอ่ะ,ที่นี่มีนกเพนกวินฮัมโบลด์ค่ะ
Animal,มีนกเพนกวินฮัมโบลด์ไหมหรือเปล่า,ที่นี่มีนกเพนกวินฮัมโบลด์ค่ะ
Animal,มีนกเพนกวินฮัมโบลด์ป้ะ,ที่นี่มีนกเพนกวินฮัมโบลด์ค่ะ
Animal,นกเพนกวินฮัมโบลด์กินอะไร,ปลา กุ้ง ตัวอ่อนของปู ลูกนกกินอาหารจากการคายออกจากกระเพาะของพ่อแม่ นกเพนกวินดื่มน้ำทั้งน้ำจืดและน้ำเค็ม
Animal,นกเพนกวินฮัมโบลด์กินไรอ่ะ,ปลา กุ้ง ตัวอ่อนของปู ลูกนกกินอาหารจากการคายออกจากกระเพาะของพ่อแม่ นกเพนกวินดื่มน้ำทั้งน้ำจืดและน้ำเค็ม
Animal,นกเพนกวินฮัมโบลด์กินราย,ปลา กุ้ง ตัวอ่อนของปู ลูกนกกินอาหารจากการคายออกจากกระเพาะของพ่อแม่ นกเพนกวินดื่มน้ำทั้งน้ำจืดและน้ำเค็ม
Animal,นกเพนกวินฮัมโบลด์กินไอไหร,ปลา กุ้ง ตัวอ่อนของปู ลูกนกกินอาหารจากการคายออกจากกระเพาะของพ่อแม่ นกเพนกวินดื่มน้ำทั้งน้ำจืดและน้ำเค็ม
Animal,นกเพนกวินฮัมโบลด์กินไร,ปลา กุ้ง ตัวอ่อนของปู ลูกนกกินอาหารจากการคายออกจากกระเพาะของพ่อแม่ นกเพนกวินดื่มน้ำทั้งน้ำจืดและน้ำเค็ม
Animal,นกเอี้ยงหงอน,ที่นี่มีนกเอี้ยงหงอนค่ะ
Animal,มีนกเอี้ยงหงอนไหม,ที่นี่มีนกเอี้ยงหงอนค่ะ
Animal,มีนกเอี้ยงหงอนไหมอ่ะ,ที่นี่มีนกเอี้ยงหงอนค่ะ
Animal,มีนกเอี้ยงหงอนไหมหรือเปล่า,ที่นี่มีนกเอี้ยงหงอนค่ะ
Animal,มีนกเอี้ยงหงอนป้ะ,ที่นี่มีนกเอี้ยงหงอนค่ะ
Animal,นกเอี้ยงหงอนกินอะไร,แมลง ไส้เดือน เมล็ดข้าว น้าหวานจาก ดอกไม้และผลไม้สุก
Animal,นกเอี้ยงหงอนกินไรอ่ะ,แมลง ไส้เดือน เมล็ดข้าว น้าหวานจาก ดอกไม้และผลไม้สุก
Animal,นกเอี้ยงหงอนกินราย,แมลง ไส้เดือน เมล็ดข้าว น้าหวานจาก ดอกไม้และผลไม้สุก
Animal,นกเอี้ยงหงอนกินไอไหร,แมลง ไส้เดือน เมล็ดข้าว น้าหวานจาก ดอกไม้และผลไม้สุก
Animal,นกเอี้ยงหงอนกินไร,แมลง ไส้เดือน เมล็ดข้าว น้าหวานจาก ดอกไม้และผลไม้สุก
Animal,นกแก้วเอคเลคตัส,ที่นี่มีนกแก้วเอคเลคตัสค่ะ
Animal,มีนกแก้วเอคเลคตัสไหม,ที่นี่มีนกแก้วเอคเลคตัสค่ะ
Animal,มีนกแก้วเอคเลคตัสไหมอ่ะ,ที่นี่มีนกแก้วเอคเลคตัสค่ะ
Animal,มีนกแก้วเอคเลคตัสไหมหรือเปล่า,ที่นี่มีนกแก้วเอคเลคตัสค่ะ
Animal,มีนกแก้วเอคเลคตัสป้ะ,ที่นี่มีนกแก้วเอคเลคตัสค่ะ
Animal,นกแก้วเอคเลคตัสกินอะไร,ผักสด และผลไม้
Animal,นกแก้วเอคเลคตัสกินไรอ่ะ,ผักสด และผลไม้
Animal,นกแก้วเอคเลคตัสกินราย,ผักสด และผลไม้
Animal,นกแก้วเอคเลคตัสกินไอไหร,ผักสด และผลไม้
Animal,นกแก้วเอคเลคตัสกินไร,ผักสด และผลไม้
Animal,นกแต้วแล้วธรรมดา,ที่นี่มีนกแต้วแล้วธรรมดาค่ะ
Animal,มีนกแต้วแล้วธรรมดาไหม,ที่นี่มีนกแต้วแล้วธรรมดาค่ะ
Animal,มีนกแต้วแล้วธรรมดาไหมอ่ะ,ที่นี่มีนกแต้วแล้วธรรมดาค่ะ
Animal,มีนกแต้วแล้วธรรมดาไหมหรือเปล่า,ที่นี่มีนกแต้วแล้วธรรมดาค่ะ
Animal,มีนกแต้วแล้วธรรมดาป้ะ,ที่นี่มีนกแต้วแล้วธรรมดาค่ะ
Animal,นกแต้วแล้วธรรมดากินอะไร,หนอน แมลง แมงมุม ไส้เดือน โดยเฉพาะไส้เดือน
Animal,นกแต้วแล้วธรรมดากินไรอ่ะ,หนอน แมลง แมงมุม ไส้เดือน โดยเฉพาะไส้เดือน
Animal,นกแต้วแล้วธรรมดากินราย,หนอน แมลง แมงมุม ไส้เดือน โดยเฉพาะไส้เดือน
Animal,นกแต้วแล้วธรรมดากินไอไหร,หนอน แมลง แมงมุม ไส้เดือน โดยเฉพาะไส้เดือน
Animal,นกแต้วแล้วธรรมดากินไร,หนอน แมลง แมงมุม ไส้เดือน โดยเฉพาะไส้เดือน
Animal,หงส์ดำ,ที่นี่มีหงส์ดำค่ะ
Animal,มีหงส์ดำไหม,ที่นี่มีหงส์ดำค่ะ
Animal,มีหงส์ดำไหมอ่ะ,ที่นี่มีหงส์ดำค่ะ
Animal,มีหงส์ดำไหมหรือเปล่า,ที่นี่มีหงส์ดำค่ะ
Animal,มีหงส์ดำป้ะ,ที่นี่มีหงส์ดำค่ะ
Animal,หงส์ดำกินอะไร,พืชน้ำ ลูกกุ้ง ลูกปลา
Animal,หงส์ดำกินไรอ่ะ,พืชน้ำ ลูกกุ้ง ลูกปลา
Animal,หงส์ดำกินราย,พืชน้ำ ลูกกุ้ง ลูกปลา
Animal,หงส์ดำกินไอไหร,พืชน้ำ ลูกกุ้ง ลูกปลา
Animal,หงส์ดำกินไร,พืชน้ำ ลูกกุ้ง ลูกปลา
Animal,เป็ดวู๊ด,ที่นี่มีเป็ดวู๊ดค่ะ
Animal,มีเป็ดวู๊ดไหม,ที่นี่มีเป็ดวู๊ดค่ะ
Animal,มีเป็ดวู๊ดไหมอ่ะ,ที่นี่มีเป็ดวู๊ดค่ะ
Animal,มีเป็ดวู๊ดไหมหรือเปล่า,ที่นี่มีเป็ดวู๊ดค่ะ
Animal,มีเป็ดวู๊ดป้ะ,ที่นี่มีเป็ดวู๊ดค่ะ
Animal,เป็ดวู๊ดกินอะไร,พรรณพืชในหนองบึง
Animal,เป็ดวู๊ดกินไรอ่ะ,พรรณพืชในหนองบึง
Animal,เป็ดวู๊ดกินราย,พรรณพืชในหนองบึง
Animal,เป็ดวู๊ดกินไอไหร,พรรณพืชในหนองบึง
Animal,เป็ดวู๊ดกินไร,พรรณพืชในหนองบึง
Animal,เป็ดหงส์,ที่นี่มีเป็ดหงส์ค่ะ
Animal,มีเป็ดหงส์ไหม,ที่นี่มีเป็ดหงส์ค่ะ
Animal,มีเป็ดหงส์ไหมอ่ะ,ที่นี่มีเป็ดหงส์ค่ะ
Animal,มีเป็ดหงส์ไหมหรือเปล่า,ที่นี่มีเป็ดหงส์ค่ะ
Animal,มีเป็ดหงส์ป้ะ,ที่นี่มีเป็ดหงส์ค่ะ
Animal,เป็ดหงส์กินอะไร,ลำข้าว ข้าวเปลือก ข้าวสาร ผัก ผลไม้
Animal,เป็ดหงส์กินไรอ่ะ,ลำข้าว ข้าวเปลือก ข้าวสาร ผัก ผลไม้
Animal,เป็ดหงส์กินราย,ลำข้าว ข้าวเปลือก ข้าวสาร ผัก ผลไม้
Animal,เป็ดหงส์กินไอไหร,ลำข้าว ข้าวเปลือก ข้าวสาร ผัก ผลไม้
Animal,เป็ดหงส์กินไร,ลำข้าว ข้าวเปลือก ข้าวสาร ผัก ผลไม้
Animal,เหยี่ยวแดง,ที่นี่มีเหยี่ยวแดงค่ะ
Animal,มีเหยี่ยวแดงไหม,ที่นี่มีเหยี่ยวแดงค่ะ
Animal,มีเหยี่ยวแดงไหมอ่ะ,ที่นี่มีเหยี่ยวแดงค่ะ
Animal,มีเหยี่ยวแดงไหมหรือเปล่า,ที่นี่มีเหยี่ยวแดงค่ะ
Animal,มีเหยี่ยวแดงป้ะ,ที่นี่มีเหยี่ยวแดงค่ะ
Animal,เหยี่ยวแดงกินอะไร,"กบ, เขียด, ปู, งู, ปลา และนกชนิดต่างๆ"
Animal,เหยี่ยวแดงกินไรอ่ะ,"กบ, เขียด, ปู, งู, ปลา และนกชนิดต่างๆ"
Animal,เหยี่ยวแดงกินราย,"กบ, เขียด, ปู, งู, ปลา และนกชนิดต่างๆ"
Animal,เหยี่ยวแดงกินไอไหร,"กบ, เขียด, ปู, งู, ปลา และนกชนิดต่างๆ"
Animal,เหยี่ยวแดงกินไร,"กบ, เขียด, ปู, งู, ปลา และนกชนิดต่างๆ"
Animal,นกกระจอกเทศ,ที่นี่มีนกกระจอกเทศค่ะ
Animal,มีนกกระจอกเทศไหม,ที่นี่มีนกกระจอกเทศค่ะ
Animal,มีนกกระจอกเทศไหมอ่ะ,ที่นี่มีนกกระจอกเทศค่ะ
Animal,มีนกกระจอกเทศไหมหรือเปล่า,ที่นี่มีนกกระจอกเทศค่ะ
Animal,มีนกกระจอกเทศป้ะ,ที่นี่มีนกกระจอกเทศค่ะ
Animal,นกกระจอกเทศกินอะไร,พืชอย่างเดียว แมลงต่างๆ หนอน หรือสัตว์เลื้อยคลานตัวเล็ก ๆ นกกระจอกเทศก็จิกกินเช่นกัน
Animal,นกกระจอกเทศกินไรอ่ะ,พืชอย่างเดียว แมลงต่างๆ หนอน หรือสัตว์เลื้อยคลานตัวเล็ก ๆ นกกระจอกเทศก็จิกกินเช่นกัน
Animal,นกกระจอกเทศกินราย,พืชอย่างเดียว แมลงต่างๆ หนอน หรือสัตว์เลื้อยคลานตัวเล็ก ๆ นกกระจอกเทศก็จิกกินเช่นกัน
Animal,นกกระจอกเทศกินไอไหร,พืชอย่างเดียว แมลงต่างๆ หนอน หรือสัตว์เลื้อยคลานตัวเล็ก ๆ นกกระจอกเทศก็จิกกินเช่นกัน
Animal,นกกระจอกเทศกินไร,พืชอย่างเดียว แมลงต่างๆ หนอน หรือสัตว์เลื้อยคลานตัวเล็ก ๆ นกกระจอกเทศก็จิกกินเช่นกัน
